sep=;
"Empresa";"Placa";"Nome";"Perfil";"Entrada";"Saída";"Observações";"Turno";"Autor";"Criado em"
"Empresa 31";"YUM0Q50";"Pessoa 1350";"Visitante";"06:30";"08:30";"Registro de teste 1350";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 30";"XRF9L41";"Pessoa 1349";"Agregado";"05:23";"07:19";"Registro de teste 1349";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 29";"WOY8G42";"Pessoa 1348";"Colaborador";"04:16";"06:08";"Registro de teste 1348";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 28";"VLR7B43";"Pessoa 1347";"Parceiro";"03:09";"05:57";"Registro de teste 1347";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 27";"UIK6W44";"Pessoa 1346";"Prestador";"02:02";"04:46";"Registro de teste 1346";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 26";"TFD5R45";"Pessoa 1345";"Fornecedor";"01:55";"03:35";"Registro de teste 1345";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 25";"SCW4M46";"Pessoa 1344";"Visitante";"00:48";"02:24";"Registro de teste 1344";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 24";"RZP3H47";"Pessoa 1343";"Agregado";"23:41";"01:13";"Registro de teste 1343";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 23";"QWI2C48";"Pessoa 1342";"Colaborador";"22:34";"00:02";"Registro de teste 1342";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 22";"PTB1X49";"Pessoa 1341";"Parceiro";"21:27";"23:51";"Registro de teste 1341";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 21";"OQU0S40";"Pessoa 1340";"Prestador";"20:20";"22:40";"Registro de teste 1340";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 20";"NNN9N31";"Pessoa 1339";"Fornecedor";"19:13";"21:29";"Registro de teste 1339";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 19";"MKG8I32";"Pessoa 1338";"Visitante";"18:06";"20:18";"Registro de teste 1338";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 18";"LHZ7D33";"Pessoa 1337";"Agregado";"17:59";"19:07";"Registro de teste 1337";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 17";"KES6Y34";"Pessoa 1336";"Colaborador";"16:52";"18:56";"Registro de teste 1336";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 16";"JBL5T35";"Pessoa 1335";"Parceiro";"15:45";"17:45";"Registro de teste 1335";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 15";"IYE4O36";"Pessoa 1334";"Prestador";"14:38";"16:34";"Registro de teste 1334";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 14";"HVX3J37";"Pessoa 1333";"Fornecedor";"13:31";"15:23";"Registro de teste 1333";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 13";"GSQ2E38";"Pessoa 1332";"Visitante";"12:24";"14:12";"Registro de teste 1332";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 12";"FPJ1Z39";"Pessoa 1331";"Agregado";"11:17";"13:01";"Registro de teste 1331";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 11";"EMC0U30";"Pessoa 1330";"Colaborador";"10:10";"12:50";"Registro de teste 1330";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 10";"DJV9P21";"Pessoa 1329";"Parceiro";"09:03";"11:39";"Registro de teste 1329";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 09";"CGO8K22";"Pessoa 1328";"Prestador";"08:56";"10:28";"Registro de teste 1328";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 08";"BDH7F23";"Pessoa 1327";"Fornecedor";"07:49";"09:17";"Registro de teste 1327";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 07";"AAA6A24";"Pessoa 1326";"Visitante";"06:42";"08:06";"Registro de teste 1326";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 06";"ZXT5V25";"Pessoa 1325";"Agregado";"05:35";"07:55";"Registro de teste 1325";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 05";"YUM4Q26";"Pessoa 1324";"Colaborador";"04:28";"06:44";"Registro de teste 1324";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 04";"XRF3L27";"Pessoa 1323";"Parceiro";"03:21";"05:33";"Registro de teste 1323";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 03";"WOY2G28";"Pessoa 1322";"Prestador";"02:14";"04:22";"Registro de teste 1322";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 02";"VLR1B29";"Pessoa 1321";"Fornecedor";"01:07";"03:11";"Registro de teste 1321";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 01";"UIK0W20";"Pessoa 1320";"Visitante";"00:00";"02:00";"Registro de teste 1320";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 40";"TFD9R11";"Pessoa 1319";"Agregado";"23:53";"01:49";"Registro de teste 1319";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 39";"SCW8M12";"Pessoa 1318";"Colaborador";"22:46";"00:38";"Registro de teste 1318";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 38";"RZP7H13";"Pessoa 1317";"Parceiro";"21:39";"23:27";"Registro de teste 1317";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 37";"QWI6C14";"Pessoa 1316";"Prestador";"20:32";"22:16";"Registro de teste 1316";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 36";"PTB5X15";"Pessoa 1315";"Fornecedor";"19:25";"21:05";"Registro de teste 1315";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 35";"OQU4S16";"Pessoa 1314";"Visitante";"18:18";"20:54";"Registro de teste 1314";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 34";"NNN3N17";"Pessoa 1313";"Agregado";"17:11";"19:43";"Registro de teste 1313";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 33";"MKG2I18";"Pessoa 1312";"Colaborador";"16:04";"18:32";"Registro de teste 1312";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 32";"LHZ1D19";"Pessoa 1311";"Parceiro";"15:57";"17:21";"Registro de teste 1311";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 31";"KES0Y10";"Pessoa 1310";"Prestador";"14:50";"16:10";"Registro de teste 1310";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 30";"JBL9T01";"Pessoa 1309";"Fornecedor";"13:43";"15:59";"Registro de teste 1309";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 29";"IYE8O02";"Pessoa 1308";"Visitante";"12:36";"14:48";"Registro de teste 1308";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 28";"HVX7J03";"Pessoa 1307";"Agregado";"11:29";"13:37";"Registro de teste 1307";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 27";"GSQ6E04";"Pessoa 1306";"Colaborador";"10:22";"12:26";"Registro de teste 1306";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 26";"FPJ5Z05";"Pessoa 1305";"Parceiro";"09:15";"11:15";"Registro de teste 1305";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
"Empresa 25";"EMC4U06";"Pessoa 1304";"Prestador";"08:08";"10:04";"Registro de teste 1304";"MANHA";"Operador Manha";"2026-04-10T19:09:03.256Z"
"Empresa 24";"DJV3P07";"Pessoa 1303";"Fornecedor";"07:01";"09:53";"Registro de teste 1303";"MANHA";"murilo f";"2026-04-10T19:09:03.256Z"
"Empresa 23";"CGO2K08";"Pessoa 1302";"Visitante";"06:54";"08:42";"Registro de teste 1302";"-";"Admin Ceslog";"2026-04-10T19:09:03.256Z"
"Empresa 22";"BDH1F09";"Pessoa 1301";"Agregado";"05:47";"07:31";"Registro de teste 1301";"TARDE";"Operador Noite";"2026-04-10T19:09:03.256Z"
