sep=;
"Empresa";"Placa";"Nome";"Perfil";"Entrada";"Saída";"Observações";"Turno";"Autor";"Criado em"
"Empresa 01";"OQU0S80";"Pessoa 1080";"Visitante";"00:00";"02:00";"Registro de teste 1080";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 40";"NNN9N71";"Pessoa 1079";"Agregado";"23:53";"01:49";"Registro de teste 1079";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 39";"MKG8I72";"Pessoa 1078";"Colaborador";"22:46";"00:38";"Registro de teste 1078";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 38";"LHZ7D73";"Pessoa 1077";"Parceiro";"21:39";"23:27";"Registro de teste 1077";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 37";"KES6Y74";"Pessoa 1076";"Prestador";"20:32";"22:16";"Registro de teste 1076";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 36";"JBL5T75";"Pessoa 1075";"Fornecedor";"19:25";"21:05";"Registro de teste 1075";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 35";"IYE4O76";"Pessoa 1074";"Visitante";"18:18";"20:54";"Registro de teste 1074";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 34";"HVX3J77";"Pessoa 1073";"Agregado";"17:11";"19:43";"Registro de teste 1073";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 33";"GSQ2E78";"Pessoa 1072";"Colaborador";"16:04";"18:32";"Registro de teste 1072";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 32";"FPJ1Z79";"Pessoa 1071";"Parceiro";"15:57";"17:21";"Registro de teste 1071";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 31";"EMC0U70";"Pessoa 1070";"Prestador";"14:50";"16:10";"Registro de teste 1070";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 30";"DJV9P61";"Pessoa 1069";"Fornecedor";"13:43";"15:59";"Registro de teste 1069";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 29";"CGO8K62";"Pessoa 1068";"Visitante";"12:36";"14:48";"Registro de teste 1068";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 28";"BDH7F63";"Pessoa 1067";"Agregado";"11:29";"13:37";"Registro de teste 1067";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 27";"AAA6A64";"Pessoa 1066";"Colaborador";"10:22";"12:26";"Registro de teste 1066";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 26";"ZXT5V65";"Pessoa 1065";"Parceiro";"09:15";"11:15";"Registro de teste 1065";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 25";"YUM4Q66";"Pessoa 1064";"Prestador";"08:08";"10:04";"Registro de teste 1064";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 24";"XRF3L67";"Pessoa 1063";"Fornecedor";"07:01";"09:53";"Registro de teste 1063";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 23";"WOY2G68";"Pessoa 1062";"Visitante";"06:54";"08:42";"Registro de teste 1062";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 22";"VLR1B69";"Pessoa 1061";"Agregado";"05:47";"07:31";"Registro de teste 1061";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 21";"UIK0W60";"Pessoa 1060";"Colaborador";"04:40";"06:20";"Registro de teste 1060";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 20";"TFD9R51";"Pessoa 1059";"Parceiro";"03:33";"05:09";"Registro de teste 1059";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 19";"SCW8M52";"Pessoa 1058";"Prestador";"02:26";"04:58";"Registro de teste 1058";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 18";"RZP7H53";"Pessoa 1057";"Fornecedor";"01:19";"03:47";"Registro de teste 1057";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 17";"QWI6C54";"Pessoa 1056";"Visitante";"00:12";"02:36";"Registro de teste 1056";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 16";"PTB5X55";"Pessoa 1055";"Agregado";"23:05";"01:25";"Registro de teste 1055";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 15";"OQU4S56";"Pessoa 1054";"Colaborador";"22:58";"00:14";"Registro de teste 1054";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 14";"NNN3N57";"Pessoa 1053";"Parceiro";"21:51";"23:03";"Registro de teste 1053";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 13";"MKG2I58";"Pessoa 1052";"Prestador";"20:44";"22:52";"Registro de teste 1052";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 12";"LHZ1D59";"Pessoa 1051";"Fornecedor";"19:37";"21:41";"Registro de teste 1051";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 11";"KES0Y50";"Pessoa 1050";"Visitante";"18:30";"20:30";"Registro de teste 1050";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 10";"JBL9T41";"Pessoa 1049";"Agregado";"17:23";"19:19";"Registro de teste 1049";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 09";"IYE8O42";"Pessoa 1048";"Colaborador";"16:16";"18:08";"Registro de teste 1048";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 08";"HVX7J43";"Pessoa 1047";"Parceiro";"15:09";"17:57";"Registro de teste 1047";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 07";"GSQ6E44";"Pessoa 1046";"Prestador";"14:02";"16:46";"Registro de teste 1046";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 06";"FPJ5Z45";"Pessoa 1045";"Fornecedor";"13:55";"15:35";"Registro de teste 1045";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 05";"EMC4U46";"Pessoa 1044";"Visitante";"12:48";"14:24";"Registro de teste 1044";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 04";"DJV3P47";"Pessoa 1043";"Agregado";"11:41";"13:13";"Registro de teste 1043";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 03";"CGO2K48";"Pessoa 1042";"Colaborador";"10:34";"12:02";"Registro de teste 1042";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 02";"BDH1F49";"Pessoa 1041";"Parceiro";"09:27";"11:51";"Registro de teste 1041";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 01";"AAA0A40";"Pessoa 1040";"Prestador";"08:20";"10:40";"Registro de teste 1040";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 40";"ZXT9V31";"Pessoa 1039";"Fornecedor";"07:13";"09:29";"Registro de teste 1039";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 39";"YUM8Q32";"Pessoa 1038";"Visitante";"06:06";"08:18";"Registro de teste 1038";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 38";"XRF7L33";"Pessoa 1037";"Agregado";"05:59";"07:07";"Registro de teste 1037";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 37";"WOY6G34";"Pessoa 1036";"Colaborador";"04:52";"06:56";"Registro de teste 1036";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 36";"VLR5B35";"Pessoa 1035";"Parceiro";"03:45";"05:45";"Registro de teste 1035";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 35";"UIK4W36";"Pessoa 1034";"Prestador";"02:38";"04:34";"Registro de teste 1034";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 34";"TFD3R37";"Pessoa 1033";"Fornecedor";"01:31";"03:23";"Registro de teste 1033";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 33";"SCW2M38";"Pessoa 1032";"Visitante";"00:24";"02:12";"Registro de teste 1032";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 32";"RZP1H39";"Pessoa 1031";"Agregado";"23:17";"01:01";"Registro de teste 1031";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 31";"QWI0C30";"Pessoa 1030";"Colaborador";"22:10";"00:50";"Registro de teste 1030";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 30";"PTB9X21";"Pessoa 1029";"Parceiro";"21:03";"23:39";"Registro de teste 1029";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 29";"OQU8S22";"Pessoa 1028";"Prestador";"20:56";"22:28";"Registro de teste 1028";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 28";"NNN7N23";"Pessoa 1027";"Fornecedor";"19:49";"21:17";"Registro de teste 1027";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 27";"MKG6I24";"Pessoa 1026";"Visitante";"18:42";"20:06";"Registro de teste 1026";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 26";"LHZ5D25";"Pessoa 1025";"Agregado";"17:35";"19:55";"Registro de teste 1025";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 25";"KES4Y26";"Pessoa 1024";"Colaborador";"16:28";"18:44";"Registro de teste 1024";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 24";"JBL3T27";"Pessoa 1023";"Parceiro";"15:21";"17:33";"Registro de teste 1023";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 23";"IYE2O28";"Pessoa 1022";"Prestador";"14:14";"16:22";"Registro de teste 1022";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 22";"HVX1J29";"Pessoa 1021";"Fornecedor";"13:07";"15:11";"Registro de teste 1021";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 21";"GSQ0E20";"Pessoa 1020";"Visitante";"12:00";"14:00";"Registro de teste 1020";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 20";"FPJ9Z11";"Pessoa 1019";"Agregado";"11:53";"13:49";"Registro de teste 1019";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 19";"EMC8U12";"Pessoa 1018";"Colaborador";"10:46";"12:38";"Registro de teste 1018";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 18";"DJV7P13";"Pessoa 1017";"Parceiro";"09:39";"11:27";"Registro de teste 1017";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 17";"CGO6K14";"Pessoa 1016";"Prestador";"08:32";"10:16";"Registro de teste 1016";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 16";"BDH5F15";"Pessoa 1015";"Fornecedor";"07:25";"09:05";"Registro de teste 1015";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 15";"AAA4A16";"Pessoa 1014";"Visitante";"06:18";"08:54";"Registro de teste 1014";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 14";"ZXT3V17";"Pessoa 1013";"Agregado";"05:11";"07:43";"Registro de teste 1013";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 13";"YUM2Q18";"Pessoa 1012";"Colaborador";"04:04";"06:32";"Registro de teste 1012";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 12";"XRF1L19";"Pessoa 1011";"Parceiro";"03:57";"05:21";"Registro de teste 1011";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 11";"WOY0G10";"Pessoa 1010";"Prestador";"02:50";"04:10";"Registro de teste 1010";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 10";"VLR9B01";"Pessoa 1009";"Fornecedor";"01:43";"03:59";"Registro de teste 1009";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 09";"UIK8W02";"Pessoa 1008";"Visitante";"00:36";"02:48";"Registro de teste 1008";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 08";"TFD7R03";"Pessoa 1007";"Agregado";"23:29";"01:37";"Registro de teste 1007";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 07";"SCW6M04";"Pessoa 1006";"Colaborador";"22:22";"00:26";"Registro de teste 1006";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 06";"RZP5H05";"Pessoa 1005";"Parceiro";"21:15";"23:15";"Registro de teste 1005";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
"Empresa 05";"QWI4C06";"Pessoa 1004";"Prestador";"20:08";"22:04";"Registro de teste 1004";"TARDE";"Operador Noite";"2026-04-10T19:09:01.452Z"
"Empresa 04";"PTB3X07";"Pessoa 1003";"Fornecedor";"19:01";"21:53";"Registro de teste 1003";"MANHA";"Operador Manha";"2026-04-10T19:09:01.452Z"
"Empresa 03";"OQU2S08";"Pessoa 1002";"Visitante";"18:54";"20:42";"Registro de teste 1002";"MANHA";"murilo f";"2026-04-10T19:09:01.452Z"
"Empresa 02";"NNN1N09";"Pessoa 1001";"Agregado";"17:47";"19:31";"Registro de teste 1001";"-";"Admin Ceslog";"2026-04-10T19:09:01.452Z"
